	cpmid	n	avg_accuracy	max_accuracy	median_accuracy	std_error
316	15589762_C066308_x_D018981	11	1.0	1.0	1.0	0.0
317	15589762_C066308_x_D018981	12	1.0	1.0	1.0	0.0
318	15589762_C066308_x_D018981	13	1.0	1.0	1.0	0.0
319	15589762_C066308_x_D018981	14	1.0	1.0	1.0	0.0
320	15589762_C066308_x_D018981	15	1.0	1.0	1.0	0.0
321	15623514_D000255_x_D016506	1	1.0	1.0	1.0	0.0
322	15623514_D000255_x_D016506	2	0.9199999999999999	1.0	0.9	0.037416573867739396
323	15623514_D000255_x_D016506	3	1.0	1.0	1.0	0.0
324	15623514_D000255_x_D016506	4	1.0	1.0	1.0	0.0
325	15623514_D000255_x_D016506	5	1.0	1.0	1.0	0.0
326	15623514_D000255_x_D016506	6	1.0	1.0	1.0	0.0
327	15623514_D000255_x_D016506	7	1.0	1.0	1.0	0.0
328	15623514_D000255_x_D016506	8	1.0	1.0	1.0	0.0
329	15623514_D000255_x_D016506	9	1.0	1.0	1.0	0.0
330	15623514_D000255_x_D016506	10	1.0	1.0	1.0	0.0
331	15623514_D000255_x_D016506	11	1.0	1.0	1.0	0.0
332	15623514_D000255_x_D016506	12	1.0	1.0	1.0	0.0
333	15623514_D000255_x_D016506	13	1.0	1.0	1.0	0.0
334	15623514_D000255_x_D016506	14	1.0	1.0	1.0	0.0
335	15623514_D000255_x_D016506	15	1.0	1.0	1.0	0.0
336	15680696_300259_x_C536008	1	1.0	1.0	1.0	0.0
337	15680696_300259_x_C536008	2	1.0	1.0	1.0	0.0
338	15680696_300259_x_C536008	3	1.0	1.0	1.0	0.0
339	15680696_300259_x_C536008	4	1.0	1.0	1.0	0.0
340	15680696_300259_x_C536008	5	1.0	1.0	1.0	0.0
341	15680696_300259_x_C536008	6	1.0	1.0	1.0	0.0
342	15680696_300259_x_C536008	7	1.0	1.0	1.0	0.0
343	15680696_300259_x_C536008	8	1.0	1.0	1.0	0.0
344	15680696_300259_x_C536008	9	1.0	1.0	1.0	0.0
345	15680696_300259_x_C536008	10	1.0	1.0	1.0	0.0
346	15680696_300259_x_C536008	11	1.0	1.0	1.0	0.0
347	15680696_300259_x_C536008	12	1.0	1.0	1.0	0.0
348	15680696_300259_x_C536008	13	1.0	1.0	1.0	0.0
349	15680696_300259_x_C536008	14	1.0	1.0	1.0	0.0
350	15680696_300259_x_C536008	15	1.0	1.0	1.0	0.0
351	16051600_None_x_D018981	1	0.9	0.9	0.9	0.0
352	16051600_None_x_D018981	2	0.8799999999999999	1.0	0.9	0.048989794855663564
353	16051600_None_x_D018981	3	1.0	1.0	1.0	0.0
354	16051600_None_x_D018981	4	1.0	1.0	1.0	0.0
355	16051600_None_x_D018981	5	1.0	1.0	1.0	0.0
356	16051600_None_x_D018981	6	1.0	1.0	1.0	0.0
357	16051600_None_x_D018981	7	1.0	1.0	1.0	0.0
358	16051600_None_x_D018981	8	1.0	1.0	1.0	0.0
359	16051600_None_x_D018981	9	1.0	1.0	1.0	0.0
360	16051600_None_x_D018981	10	1.0	1.0	1.0	0.0
361	16051600_None_x_D018981	11	1.0	1.0	1.0	0.0
362	16051600_None_x_D018981	12	1.0	1.0	1.0	0.0
363	16051600_None_x_D018981	13	1.0	1.0	1.0	0.0
364	16051600_None_x_D018981	14	1.0	1.0	1.0	0.0
365	16051600_None_x_D018981	15	1.0	1.0	1.0	0.0
366	16264411_8086_x_D030342	1	0.8	1.0	0.8	0.07071067811865477
367	16264411_8086_x_D030342	2	0.74	0.8	0.7	0.024494897427831803
368	16264411_8086_x_D030342	3	0.9800000000000001	1.0	1.0	0.019999999999999993
369	16264411_8086_x_D030342	4	0.9800000000000001	1.0	1.0	0.019999999999999993
370	16264411_8086_x_D030342	5	1.0	1.0	1.0	0.0
